representation,feature_count,patient_accuracy,patient_balanced_accuracy,patient_macro_f1,patient_macro_roc_auc_ovr,patient_macro_average_precision,beat_accuracy,beat_balanced_accuracy,beat_macro_f1,beat_macro_roc_auc_ovr,beat_macro_average_precision
wavelet_statistics,192,0.5365853658536586,0.4613686406126583,0.4640036238033811,0.8083823196347896,0.44998127132247207,0.45076347492973884,0.42601437261575636,0.4260382886560146,0.7790233992372787,0.4264853217430395
tucker_clean_r5,120,0.4817073170731707,0.4155574116117742,0.4230676024117188,0.7734054583276668,0.40998358453090916,0.3883966131428674,0.3598609471564121,0.3638192311609722,0.7431910746635356,0.3593813043372028
tucker_clean_r8,192,0.49390243902439024,0.42255493670962413,0.41591278927976844,0.7860844844625247,0.4356907334309708,0.40998514222293825,0.37916491541131503,0.38143600385584703,0.7552405527284624,0.377554823110267
tucker_clean_r3,72,0.4817073170731707,0.4129846239315402,0.4159100787087177,0.7681600974258626,0.3915993033129217,0.38159425737966096,0.354053033125935,0.35845216440331423,0.7409294394774678,0.35206666262849867
tucker_raw_r3,72,0.47560975609756095,0.41020520879580324,0.41110837221677016,0.7680359851154344,0.39272041719205025,0.38180906861428854,0.35365272466562675,0.3574653967540055,0.7415419556585113,0.3520597093260492
tucker_clean_r2,48,0.45121951219512196,0.3780646546175546,0.377288022655339,0.7702981011950992,0.4065908777045753,0.38431519968494354,0.35819427733281756,0.36202818320285934,0.7426368978486209,0.3562631320582191
tucker_vector_norm_r3,72,0.4329268292682927,0.37206909522865517,0.3689127730507041,0.7700673944919997,0.3969359806532644,0.39747238780588223,0.36869721902715263,0.37007832176236555,0.7438320129464661,0.36130196035759293
tucker_z_r3,24,0.4268292682926829,0.3676245844104929,0.3633702796213408,0.7559338745979963,0.3860012535078121,0.36612784848647584,0.3472155649713577,0.34980712119147905,0.7198378528805596,0.34225250469809304
tucker_clean_r1,24,0.4451219512195122,0.3566328585749023,0.35344933916305693,0.7704961484386014,0.38598523461697615,0.36295938277571915,0.3392283115498331,0.3411722696684612,0.7214570188450343,0.3370524531129467
tucker_x_r3,24,0.3780487804878049,0.33067411325341184,0.3196584828644186,0.7061462982349874,0.3350667232300378,0.30932817786370226,0.30017978317345895,0.30072547772449326,0.6734715646934152,0.29991566580293805
tucker_y_r3,24,0.35365853658536583,0.3064548932589177,0.3014114418030853,0.6947238311993015,0.3242279415818594,0.28355082970839374,0.26534260895119477,0.266034733310139,0.6290719480066298,0.26776681414117637
tucker_no_wavelet_r3,9,0.35365853658536583,0.2805155025763471,0.27824747191142885,0.6963033191970647,0.3144195293381045,0.2859853570341729,0.27173901090078645,0.2729669194764542,0.6429227377356419,0.25740795777015313
