,AMI,ALMI,ASMI,ASLMI,IMI,ILMI,IPMI,IPLMI,LMI,PMI,PLMI,HC
AMI,529,1458,3375,0,330,278,0,0,0,0,8,355
ALMI,753,1562,3297,0,943,103,0,5,0,1,0,163
ASMI,1252,1253,6860,0,1200,330,0,0,0,0,9,585
ASLMI,0,246,4,0,0,0,0,0,0,0,0,21
IMI,268,189,2050,0,7017,1670,0,88,21,0,0,1107
ILMI,97,127,1148,0,3548,2404,0,101,0,0,0,624
IPMI,0,0,0,0,47,1,0,1,0,0,0,0
IPLMI,5,3,11,0,1603,1046,0,8,0,5,0,5
LMI,0,0,0,0,377,59,0,0,0,0,0,8
PMI,25,11,56,0,150,0,0,0,0,0,0,187
PLMI,10,7,319,0,322,8,0,1,0,0,0,98
HC,82,226,417,0,2808,561,0,0,0,0,0,6661
